法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行,所管課確認中
府省令,令和二年総務省令第五十五号,地方団体に対して交付すべき令和二年度分の震災復興特別交付税の額の算定方法、決定時期及び決定額並びに交付時期及び交付額等の特例に関する省令,ちほうだんたいにたいしてこうふすべきれいわにねんどぶんのしんさいふっこうとくべつこうふぜいのがくのさんていほうほうけっていじきおよびけっていがくならびにこうふじきおよびこうふがくとうのとくれいにかんするしょうれい,,令和二年五月二十九日,,,,令和二年五月二十九日,,502M60000008055,https://elaws.e-gov.go.jp/document?lawid=502M60000008055_20200529_000000000000000,,
法律,昭和二十三年法律第百九号,地方財政法,ちほうざいせいほう,,昭和二十三年七月七日,新型インフルエンザ等対策特別措置法等の一部を改正する法律,令和三年法律第五号,令和三年二月三日,令和三年二月十三日,,323AC0000000109,https://elaws.e-gov.go.jp/document?lawid=323AC0000000109_20210213_503AC0000000005,,
政令,昭和二十三年政令第二百四十二号,競馬法施行令,けいばほうせこうれい,,昭和二十三年八月十九日,競馬法施行令及び日本中央競馬会法施行令の一部を改正する政令,平成二十七年政令第三百二十二号,平成二十七年九月九日,平成二十七年十一月一日,,323CO0000000242,https://elaws.e-gov.go.jp/document?lawid=323CO0000000242_20151101_427CO0000000322,,
政令,昭和二十三年政令第二百六十七号,地方財政法施行令,ちほうざいせいほうせこうれい,,昭和二十三年八月二十七日,地方財政法施行令及び地方公共団体の財政の健全化に関する法律施行令の一部を改正する政令,令和二年政令第百八号,令和二年三月三十一日,令和二年四月一日,,323CO0000000267,https://elaws.e-gov.go.jp/document?lawid=323CO0000000267_20200401_502CO0000000108,,○
法律,昭和二十五年法律第二百五十六号,旧令による共済組合等からの年金受給者のための特別措置法,きゅうれいによるきょうさいくみあいとうからのねんきんじゅきゅうしゃのためのとくべつそちほう,,昭和二十五年十二月十二日,公的年金制度の財政基盤及び最低保障機能の強化等のための国民年金法等の一部を改正する法律の一部を改正する法律,平成二十八年法律第八十四号,平成二十八年十一月二十四日,平成二十八年十一月二十四日,,325AC0000000256,https://elaws.e-gov.go.jp/document?lawid=325AC0000000256_20161124_428AC0000000084,,
法律,昭和二十五年法律第二百五十六号,旧令による共済組合等からの年金受給者のための特別措置法,きゅうれいによるきょうさいくみあいとうからのねんきんじゅきゅうしゃのためのとくべつそちほう,,昭和二十五年十二月十二日,年金制度の機能強化のための国民年金法等の一部を改正する法律,令和二年法律第四十号,令和二年六月五日,令和四年四月一日,,325AC0000000256,https://elaws.e-gov.go.jp/document?lawid=325AC0000000256_20220401_502AC0000000040,○,
法律,昭和二十五年法律第二百八号,小型自動車競走法,こがたじどうしゃきょうそうほう,,昭和二十五年五月二十七日,民法の一部を改正する法律の施行に伴う関係法律の整備等に関する法律,平成二十九年法律第四十五号,平成二十九年六月二日,令和二年四月一日,,325AC1000000208,https://elaws.e-gov.go.jp/document?lawid=325AC1000000208_20200401_429AC0000000045,,○
府省令,昭和二十六年運輸省令第五十九号,モーターボート競走法施行規則,もーたーぼーときょうそうほうせこうきそく,,昭和二十六年七月九日,平成２８年１０月１日（基準日）現在のデータ,,,,,326M50000800059,https://elaws.e-gov.go.jp/document?lawid=326M50000800059_20161001_000000000000000,,
府省令,昭和二十六年運輸省令第七十七号,ボート、モーター、選手、審判員及び検査員登録規則,ぼーと、もーたー、せんしゅ、しんぱんいんおよびけんさいんとうろくきそく,,昭和二十六年八月二十八日,成年被後見人等の権利の制限に係る措置の適正化等を図るための関係法律の整備に関する法律等の施行に伴う国土交通省関係省令の整備等に関する省令,令和元年国土交通省令第三十四号,令和元年九月十三日,令和元年九月十四日,,326M50000800077,https://elaws.e-gov.go.jp/document?lawid=326M50000800077_20190914_501M60000800034,,
府省令,昭和二十六年建設省令第五号,水防施設費国庫補助規則,すいぼうしせつひこっこほじょきそく,,昭和二十六年三月二十九日,平成２８年１０月１日（基準日）現在のデータ,,,,,326M50004000005,https://elaws.e-gov.go.jp/document?lawid=326M50004000005_20161001_000000000000000,,
